cell_id,shard_id,shard_index,scenario,scale,seed,episode_id,strict_identity_metrics_available,strict_identity_metrics_reason,blocker_mapping_event_count,blocking_mapping_count,producer_replay_verified,source_hashes_verified,episode_identity_verified,online_truth_isolation_verified,strict_unavailable_preserved,unavailable_backfilled_as_zero,lineage_time_window_s,identity_commitment_freshness_window_s,causal_classification_counts,commitment_reason_counts,modality_transition_counts,case_json_relative_path,case_json_sha256,case_csv_relative_path,case_csv_sha256
00188__r0__dense_crossing__200v200__seed_1008,shard_008_of_020,8,dense_crossing,200,1008,dense_crossing_200v200-s1008-84f37e996d79-r8aa45cff0bb4,False,multiple_truth_targets_for_global_track,1,1,True,True,True,True,True,False,0.9,0.9,{'newest_observation_introduced_new_truth': 1},{'fresh_original_observation_accepted': 1},{'radar->camera': 1},cases/00188__r0__dense_crossing__200v200__seed_1008.json,sha256:cd38e855cbbd5ac01f4808e55f29f4f44f687ececd99bc40bbb9b9a432fa211c,cases/00188__r0__dense_crossing__200v200__seed_1008.csv,sha256:21e720ee822920fa154e8bfe8f8b0d132e740be24e8f46a106aa158ad65bcefa
00189__r0__dense_crossing__200v200__seed_1009,shard_009_of_020,9,dense_crossing,200,1009,dense_crossing_200v200-s1009-1f00eccbac65-r8aa45cff0bb4,False,multiple_truth_targets_for_global_track,1,1,True,True,True,True,True,False,0.9,0.9,{'newest_observation_introduced_new_truth': 1},{'fresh_original_observation_accepted': 1},{'radar->radar': 1},cases/00189__r0__dense_crossing__200v200__seed_1009.json,sha256:b4e30e04df7424dd22ddd31e10e1474034fe716368e6ec35481beb392ba93959,cases/00189__r0__dense_crossing__200v200__seed_1009.csv,sha256:c60219f956bc7e3f0f7d723e4d2fba12cc1832133968113a038eb51946948fb3
00261__r0__formation_split__100v100__seed_1001,shard_001_of_020,1,formation_split,100,1001,formation_split_100v100-s1001-91f58d992094-r825782086de6,False,multiple_truth_targets_for_global_track,1,1,True,True,True,True,True,False,0.9,0.9,{'newest_observation_introduced_new_truth': 1},{'fresh_original_observation_accepted': 1},{'radar->camera': 1},cases/00261__r0__formation_split__100v100__seed_1001.json,sha256:a99728623621bf3bf8c48e6c229acf9f15e34fbf465b09a9f5480f7642178306,cases/00261__r0__formation_split__100v100__seed_1001.csv,sha256:a78e65c473098c0fd6086093631c5d2730b3439aecbdd398d6b50331becbe00f
00264__r0__formation_split__100v100__seed_1004,shard_004_of_020,4,formation_split,100,1004,formation_split_100v100-s1004-afefd3eab9aa-r825782086de6,False,source_observation_outside_lineage_window,99,99,True,True,True,True,True,False,0.9,0.9,{'historical_lineage_only_stale': 99},{'fresh_original_observation_accepted': 99},"{'camera+radar->radar': 4, 'radar->radar': 95}",cases/00264__r0__formation_split__100v100__seed_1004.json,sha256:445c92ba809d819d37dc079e40c66f5d82e0aa622dd44daed4217b8fd165736a,cases/00264__r0__formation_split__100v100__seed_1004.csv,sha256:154e0df6d49af7859479dfef79abf8d23fb400ff9e445fa3fe84474bfd93c9cf
00280__r0__formation_split__200v200__seed_1000,shard_000_of_020,0,formation_split,200,1000,formation_split_200v200-s1000-6e149c1b1424-r8aa45cff0bb4,False,multiple_truth_targets_for_global_track,3,3,True,True,True,True,True,False,0.9,0.9,"{'historical_multi_truth_already_present': 2, 'newest_observation_introduced_new_truth': 1}",{'fresh_original_observation_accepted': 3},"{'radar->camera': 1, 'radar->radar': 2}",cases/00280__r0__formation_split__200v200__seed_1000.json,sha256:45ef58665c2b4b0d54726aa897b18b005c7bd006f1eb2e57f5339410bb5793b0,cases/00280__r0__formation_split__200v200__seed_1000.csv,sha256:b5b801ed4a101a2c3cc36994c70840c87d4e840c6e0ba3b900102c1c1fa06df5
00281__r0__formation_split__200v200__seed_1001,shard_001_of_020,1,formation_split,200,1001,formation_split_200v200-s1001-d706ad1ad5c1-r8aa45cff0bb4,False,multiple_truth_targets_for_global_track,2,2,True,True,True,True,True,False,0.9,0.9,{'newest_observation_introduced_new_truth': 2},{'fresh_original_observation_accepted': 2},{'radar->radar': 2},cases/00281__r0__formation_split__200v200__seed_1001.json,sha256:9987e4c8d49a66c730e9d3e0cf472283704d94a9f2443634162504b18ea09057,cases/00281__r0__formation_split__200v200__seed_1001.csv,sha256:9fed700c5e4a6574e1bf52ab1c7631a9bcde04015b4fa820e5037700fbbd14f5
00283__r0__formation_split__200v200__seed_1003,shard_003_of_020,3,formation_split,200,1003,formation_split_200v200-s1003-bf3cfa2caadc-r8aa45cff0bb4,False,multiple_truth_targets_for_global_track,1,1,True,True,True,True,True,False,0.9,0.9,{'newest_observation_introduced_new_truth': 1},{'fresh_original_observation_accepted': 1},{'radar->camera': 1},cases/00283__r0__formation_split__200v200__seed_1003.json,sha256:211edcf362b8ce2d15b5684c7afaf6d65675634a59abf88a2046b29387e15054,cases/00283__r0__formation_split__200v200__seed_1003.csv,sha256:96c6d692a207811d2814295d455b7c335764e5db7667e55a9a8de0eb56e2a3d2
00289__r0__formation_split__200v200__seed_1009,shard_009_of_020,9,formation_split,200,1009,formation_split_200v200-s1009-7b5f6af54286-r8aa45cff0bb4,False,multiple_truth_targets_for_global_track,1,1,True,True,True,True,True,False,0.9,0.9,{'newest_observation_introduced_new_truth': 1},{'fresh_original_observation_accepted': 1},{'radar->camera': 1},cases/00289__r0__formation_split__200v200__seed_1009.json,sha256:31b4ddf15623a79b5595d5e1c51f53657a75ad892379103ddd12d98c03e36aae,cases/00289__r0__formation_split__200v200__seed_1009.csv,sha256:e75635493588f2c5f2600d81b9f8031fe8d2d76db2a10aafa018497452feed10
00361__r0__evasive_multilevel__100v100__seed_1001,shard_001_of_020,1,evasive_multilevel,100,1001,evasive_multilevel_100v100-s1001-6582759faa98-r825782086de6,False,multiple_truth_targets_for_global_track,1,1,True,True,True,True,True,False,0.9,0.9,{'newest_observation_introduced_new_truth': 1},{'fresh_original_observation_accepted': 1},{'radar->camera': 1},cases/00361__r0__evasive_multilevel__100v100__seed_1001.json,sha256:41bbc6ba09336d89502b4218281bb32ed159f8d1f7c5df05d16b6c1b76c6ead6,cases/00361__r0__evasive_multilevel__100v100__seed_1001.csv,sha256:a02d05a887b76bb5439180f71c4061a3cbfed3c0d553e8f23ff8b84d45bf4f35
00364__r0__evasive_multilevel__100v100__seed_1004,shard_004_of_020,4,evasive_multilevel,100,1004,evasive_multilevel_100v100-s1004-76884da0f915-r825782086de6,False,source_observation_outside_lineage_window,99,99,True,True,True,True,True,False,0.9,0.9,{'historical_lineage_only_stale': 99},"{'fresh_original_observation_accepted': 98, 'track_created_from_fresh_original_observation': 1}","{'camera+radar->radar': 4, 'radar->radar': 95}",cases/00364__r0__evasive_multilevel__100v100__seed_1004.json,sha256:58614873cb143275972e83bd4dc5328170ddddabe785e4d67c75662d106f1061,cases/00364__r0__evasive_multilevel__100v100__seed_1004.csv,sha256:ab512bf06fc7033f0f50ea7ea60439e9c9f526d4c06ec7eba0e0e2511567ac8d
00380__r0__evasive_multilevel__200v200__seed_1000,shard_000_of_020,0,evasive_multilevel,200,1000,evasive_multilevel_200v200-s1000-70d099247e89-r8aa45cff0bb4,False,multiple_truth_targets_for_global_track,1,1,True,True,True,True,True,False,0.9,0.9,{'newest_observation_introduced_new_truth': 1},{'fresh_original_observation_accepted': 1},{'radar->camera': 1},cases/00380__r0__evasive_multilevel__200v200__seed_1000.json,sha256:5c39b826b844306c63312ae823ed96f7ec6eab9c7710d293b918c321312c5e6e,cases/00380__r0__evasive_multilevel__200v200__seed_1000.csv,sha256:323af708be9b41469861b21187d2df350b454db44be3626c29493e3f5a3e3d7b
00381__r0__evasive_multilevel__200v200__seed_1001,shard_001_of_020,1,evasive_multilevel,200,1001,evasive_multilevel_200v200-s1001-0027f848be9c-r8aa45cff0bb4,False,multiple_truth_targets_for_global_track,2,2,True,True,True,True,True,False,0.9,0.9,{'newest_observation_introduced_new_truth': 2},{'fresh_original_observation_accepted': 2},{'radar->radar': 2},cases/00381__r0__evasive_multilevel__200v200__seed_1001.json,sha256:9a8c80374b53bde3dead27f8434fe0fba3a3ed981e40ebb24767ed6006337d96,cases/00381__r0__evasive_multilevel__200v200__seed_1001.csv,sha256:7d48778c6eb02aade1566766e7c3994e11f8d4706508e0ca13737c53d1228779
00382__r0__evasive_multilevel__200v200__seed_1002,shard_002_of_020,2,evasive_multilevel,200,1002,evasive_multilevel_200v200-s1002-244e78498123-r8aa45cff0bb4,False,multiple_truth_targets_for_global_track,1,1,True,True,True,True,True,False,0.9,0.9,{'newest_observation_introduced_new_truth': 1},{'fresh_original_observation_accepted': 1},{'radar->camera': 1},cases/00382__r0__evasive_multilevel__200v200__seed_1002.json,sha256:113bdd4e2d13a624f4d6640cf5206b21645867e61a3d5ea43e5c3ec23e2aca66,cases/00382__r0__evasive_multilevel__200v200__seed_1002.csv,sha256:5f2be08d86ad185eaae35fcc3983887d2931d985ad457383093575351802e7de
00400__r0__delayed_noisy__5v5__seed_1000,shard_000_of_020,0,delayed_noisy,5,1000,delayed_noisy_5v5-s1000-ec0abc4db8a1-rc92be9e791f6,False,source_observation_outside_lineage_window,4,4,True,True,True,True,True,False,1.05,1.05,{'historical_lineage_only_stale': 4},{'fresh_original_observation_accepted': 4},{'radar->radar': 4},cases/00400__r0__delayed_noisy__5v5__seed_1000.json,sha256:e41c67b41fa90799bf66a39ebf1d29293e29ff5d52114b5a5de75ba508dd2cdd,cases/00400__r0__delayed_noisy__5v5__seed_1000.csv,sha256:7a23774d49727e2011f5b37176320c70901c4bea6f5d89f7d8a5dfca998d0063
00405__r0__delayed_noisy__5v5__seed_1005,shard_005_of_020,5,delayed_noisy,5,1005,delayed_noisy_5v5-s1005-8faa983a18e6-rc92be9e791f6,False,source_observation_outside_lineage_window,9,9,True,True,True,True,True,False,1.05,1.05,"{'active_commitment_source_stale': 1, 'historical_lineage_only_stale': 8}",{'fresh_original_observation_accepted': 9},"{'None': 1, 'radar->radar': 8}",cases/00405__r0__delayed_noisy__5v5__seed_1005.json,sha256:ada30a8b908d9b40f1c5df83291a7c2279c15f9a98d2eef0bfc882de76f3869a,cases/00405__r0__delayed_noisy__5v5__seed_1005.csv,sha256:e57c877096f2d0fe6f3ba9622845dd6a3ceb8e7ae8a70689799b0df2af8109d4
00407__r0__delayed_noisy__5v5__seed_1007,shard_007_of_020,7,delayed_noisy,5,1007,delayed_noisy_5v5-s1007-5618154e97f3-rc92be9e791f6,False,source_observation_outside_lineage_window,5,5,True,True,True,True,True,False,1.05,1.05,{'historical_lineage_only_stale': 5},{'fresh_original_observation_accepted': 5},{'radar->radar': 5},cases/00407__r0__delayed_noisy__5v5__seed_1007.json,sha256:0856e2e7aee1ccab9dba88eb9bb37d1dcaaca2413f54c0ca8e9284778c59c9bc,cases/00407__r0__delayed_noisy__5v5__seed_1007.csv,sha256:2b77b019ef9329e8564ee0aa1159709889b2e5cb6b689e939447e80f85c2fadf
00408__r0__delayed_noisy__5v5__seed_1008,shard_008_of_020,8,delayed_noisy,5,1008,delayed_noisy_5v5-s1008-14db497c1ba2-rc92be9e791f6,False,source_observation_outside_lineage_window,5,5,True,True,True,True,True,False,1.05,1.05,{'historical_lineage_only_stale': 5},{'fresh_original_observation_accepted': 5},{'radar->radar': 5},cases/00408__r0__delayed_noisy__5v5__seed_1008.json,sha256:a6410deac1a0db34cbd8f30461c41b32eaa1309b89f649a2025f7f99a69db4ac,cases/00408__r0__delayed_noisy__5v5__seed_1008.csv,sha256:d7ee612bf355ed4b94bed35d34137297956dda1f5f9ac3c36a6b52ffd8e84770
00580__r0__communication_degraded__200v200__seed_1000,shard_000_of_020,0,communication_degraded,200,1000,communication_degraded_200v200-s1000-fe7a435a1499-r8aa45cff0bb4,False,multiple_truth_targets_for_global_track,2,2,True,True,True,True,True,False,1.11,1.11,{'newest_observation_introduced_new_truth': 2},{'fresh_original_observation_accepted': 2},{'radar->radar': 2},cases/00580__r0__communication_degraded__200v200__seed_1000.json,sha256:42ee14e15779b4493029f58e9b5235f8e696e5e34d4d08efa14077fff1d79de1,cases/00580__r0__communication_degraded__200v200__seed_1000.csv,sha256:86e776aa0c416600f1b6f277ff7cb00cdd069475b29dfb7747735b6ca1fcc600
00586__r0__communication_degraded__200v200__seed_1006,shard_006_of_020,6,communication_degraded,200,1006,communication_degraded_200v200-s1006-6c8f4e9d8348-r8aa45cff0bb4,False,multiple_truth_targets_for_global_track,2,2,True,True,True,True,True,False,1.11,1.11,{'newest_observation_introduced_new_truth': 2},{'fresh_original_observation_accepted': 2},{'radar->radar': 2},cases/00586__r0__communication_degraded__200v200__seed_1006.json,sha256:e5b5ddc88adb22195e087d4a222c01708fcbc45bf0bfb2818de424ccf5eaa33c,cases/00586__r0__communication_degraded__200v200__seed_1006.csv,sha256:c4dbe3de65d76a3ab97310cb0cdd53fd6ed666b2ec467349c36b8073c5fa0d67
00664__r0__center_failure__100v100__seed_1004,shard_004_of_020,4,center_failure,100,1004,center_failure_100v100-s1004-7e671c7aee8b-r825782086de6,False,source_observation_outside_lineage_window,99,99,True,True,True,True,True,False,0.9,0.9,{'historical_lineage_only_stale': 99},{'fresh_original_observation_accepted': 99},"{'camera+radar->radar': 4, 'radar->camera': 1, 'radar->radar': 94}",cases/00664__r0__center_failure__100v100__seed_1004.json,sha256:0d3ec0098094d8520cf3e631e8130c09b3d23d70933655a9880742e0cd5532d5,cases/00664__r0__center_failure__100v100__seed_1004.csv,sha256:75223e557f3f20437893e4a39efe5218bf59a792b67d10f0b6c54104cef6a53e
00681__r0__center_failure__200v200__seed_1001,shard_001_of_020,1,center_failure,200,1001,center_failure_200v200-s1001-73671c8266fe-r8aa45cff0bb4,False,multiple_truth_targets_for_global_track,2,2,True,True,True,True,True,False,0.9,0.9,{'newest_observation_introduced_new_truth': 2},{'fresh_original_observation_accepted': 2},"{'camera+radar->radar': 1, 'radar->radar': 1}",cases/00681__r0__center_failure__200v200__seed_1001.json,sha256:10c990a512c3328bbe4e1be9e28795231d818a53a706d32ccbf8645c3c3a5b87,cases/00681__r0__center_failure__200v200__seed_1001.csv,sha256:fc29833fa36ca0a2747cb739f8a52bcbfc27be40028633369894beba4fb93c22
00764__r0__secondary_failure__100v100__seed_1004,shard_004_of_020,4,secondary_failure,100,1004,secondary_failure_100v100-s1004-bdfbe7bff782-r825782086de6,False,source_observation_outside_lineage_window,99,99,True,True,True,True,True,False,0.9,0.9,{'historical_lineage_only_stale': 99},{'fresh_original_observation_accepted': 99},"{'camera+radar->radar': 4, 'radar->camera': 1, 'radar->radar': 94}",cases/00764__r0__secondary_failure__100v100__seed_1004.json,sha256:24e3c728f702a54c81b3619960ded7d4e9fa27310bf8741bf085e1660e5c59d3,cases/00764__r0__secondary_failure__100v100__seed_1004.csv,sha256:ddad4db807181fe9f0387090358d410bf58f0bbe122f0da6824df78c8a3c46ef
00781__r0__secondary_failure__200v200__seed_1001,shard_001_of_020,1,secondary_failure,200,1001,secondary_failure_200v200-s1001-19355b49c54d-r8aa45cff0bb4,False,multiple_truth_targets_for_global_track,2,2,True,True,True,True,True,False,0.9,0.9,{'newest_observation_introduced_new_truth': 2},{'fresh_original_observation_accepted': 2},"{'camera+radar->radar': 1, 'radar->radar': 1}",cases/00781__r0__secondary_failure__200v200__seed_1001.json,sha256:a6148808bb21a40b733e0b03e691565319c65882a84450d2995d64eb20ae96ad,cases/00781__r0__secondary_failure__200v200__seed_1001.csv,sha256:794d19b8914171d2eb9557fbea502ca00cb0748da1add22f893ecb12ab1bd0b8
00880__r0__high_threat_m_to_n__200v200__seed_1000,shard_000_of_020,0,high_threat_m_to_n,200,1000,high_threat_m_to_n_200v200-s1000-8ba13c8b9c93-r8aa45cff0bb4,False,multiple_truth_targets_for_global_track,1,1,True,True,True,True,True,False,0.9,0.9,{'newest_observation_introduced_new_truth': 1},{'fresh_original_observation_accepted': 1},{'radar->camera': 1},cases/00880__r0__high_threat_m_to_n__200v200__seed_1000.json,sha256:10298f27e727a4efc189b73085b38732cf0348587b2768e95a150e6d7b32b5e0,cases/00880__r0__high_threat_m_to_n__200v200__seed_1000.csv,sha256:55acf2b529db7b1f221e1174cd41e35ee9639666a26b9a2e69b514808ae48cec
00881__r0__high_threat_m_to_n__200v200__seed_1001,shard_001_of_020,1,high_threat_m_to_n,200,1001,high_threat_m_to_n_200v200-s1001-353dcdae8f58-r8aa45cff0bb4,False,multiple_truth_targets_for_global_track,2,2,True,True,True,True,True,False,0.9,0.9,{'newest_observation_introduced_new_truth': 2},{'fresh_original_observation_accepted': 2},{'radar->radar': 2},cases/00881__r0__high_threat_m_to_n__200v200__seed_1001.json,sha256:da2e8406994451b8ed1018f51bd2ea5353950d9f1c10d298c6871f830e5fd4e8,cases/00881__r0__high_threat_m_to_n__200v200__seed_1001.csv,sha256:3c57cb206cd3020b0368d3967e2572d878d7ba492c94545480ad389375c75997
00883__r0__high_threat_m_to_n__200v200__seed_1003,shard_003_of_020,3,high_threat_m_to_n,200,1003,high_threat_m_to_n_200v200-s1003-37cd9ef03ba8-r8aa45cff0bb4,False,multiple_truth_targets_for_global_track,1,1,True,True,True,True,True,False,0.9,0.9,{'newest_observation_introduced_new_truth': 1},{'fresh_original_observation_accepted': 1},{'radar->camera': 1},cases/00883__r0__high_threat_m_to_n__200v200__seed_1003.json,sha256:4ac4ce932e6b3d1c83d5310c3ae08fc363a46032c0c50bf3159ed897837dd45e,cases/00883__r0__high_threat_m_to_n__200v200__seed_1003.csv,sha256:66a2e8f3ba1e4da7b64edbcd145b6ef5a4876f01ade29d3539c69fec74361338
